GLOBALEVENTID	EventTimeDate	MentionTimeDate	MentionType	MentionSourceName	MentionIdentifier	SentenceID	Actor1CharOffset	Actor2CharOffset	ActionCharOffset	InRawText	Confidence	MentionDocLen	MentionDocTone	MentionDocTranslationInfo	Extras
1136796715	20231030001500	20241029231500	1	kvia.com	https://kvia.com/news/el-paso/2024/10/29/prosecution-seeks-psychiatric-records-ahead-of-thursday-hearing-in-walmart-mass-shooting-case/	14	-1	4319	4331	1	100	4610	-7.61904761904765		
1207015256	20241029220000	20241029231500	1	kvia.com	https://kvia.com/news/el-paso/2024/10/29/da-asks-appeals-court-to-block-hearing-in-el-paso-walmart-mass-shooting-case/	24	-1	5686	5713	0	20	5986	-9.49895615866383		
1207015257	20241029220000	20241029231500	1	kvia.com	https://kvia.com/news/el-paso/2024/10/29/da-asks-appeals-court-to-block-hearing-in-el-paso-walmart-mass-shooting-case/	24	-1	5686	5713	1	80	5986	-9.49895615866383		
1136795959	20231030001500	20241029231500	1	odt.co.nz	https://www.odt.co.nz/news/dunedin/photographer-homeless-man-mystery-comes-forward	2	459	-1	539	0	10	4013	-0.89686098654709		
1136925694	20231030151500	20241029231500	1	odt.co.nz	https://www.odt.co.nz/news/dunedin/photographer-homeless-man-mystery-comes-forward	2	444	-1	524	0	10	4013	-0.89686098654709		
1136809162	20231030013000	20241029231500	1	indianexpress.com	https://indianexpress.com/article/opinion/columns/partisan-organisations-such-as-united-nations-relief-and-works-agency-are-an-obstacle-to-peace-9645097/	8	2405	2443	2433	1	100	3830	-3.7156704361874		
1207023708	20241029231500	20241029231500	1	ynetnews.com	https://www.ynetnews.com/magazine/article/hyjb0p0xyg	6	965	-1	1015	0	20	4056	-3.95634379263301		
1206998316	20241029200000	20241029231500	1	krvs.org	https://www.krvs.org/louisiana-news/2024-10-29/louisiana-not-keeping-pace-with-new-orphan-oil-and-gas-wells-audit-finds	8	2965	-1	2997	1	60	5491	0		
1206976948	20241029174500	20241029231500	1	krvs.org	https://www.krvs.org/louisiana-news/2024-10-29/louisiana-not-keeping-pace-with-new-orphan-oil-and-gas-wells-audit-finds	8	2965	-1	2997	0	40	5491	0		
1136835107	20231030060000	20241029231500	1	falmouthpacket.co.uk	https://www.falmouthpacket.co.uk/news/national/24687286.hundreds-asylum-seekers-moved-off-bibby-stockholm-accommodation-barge/	4	893	-1	856	0	20	1876	-2.18068535825545		
