GlobalEventsID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	isRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	Goldstien	NumMentions	NumSources	NumArticles	AvgTone	Actor1GeoType	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1GeoADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1GeoFeatureID	Actor2GeoType	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2GeoADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2GeoFeatureID	ActionGeoType	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeoADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeoFeatureID	DateAdded	SourceURL
1210814248	20231120	202311	2023	2023.8767	AUS	AUSTRALIA	AUS																		1	080	080	08	2	5.0	1	1	1	-2.10526315789474	3	San Francisco, California, United States	US	USCA	CA075	37.7749	-122.419	277593	0								1	Australia	AS	AS		-25	135	AS	20241119171500	https://www.washingtonexaminer.com/news/campaigns/state/3234292/daniel-lurie-taps-openai-sam-altman-transition-team/
1210814249	20231120	202311	2023	2023.8767	BUS	AIRLINE						BUS			GBR	LIVERPOOL	GBR								1	035	035	03	1	7.0	10	1	10	3.91061452513967	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20241119171500	https://www.liverpoolecho.co.uk/news/liverpool-news/easyjet-announces-new-holiday-route-30403949
1210814250	20231120	202311	2023	2023.8767	CHN	CHINA	CHN								PAK	PAKISTAN	PAK								1	072	072	07	2	8.3	3	1	3	1.03896103896104	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20241119171500	https://idrw.org/pakistan-may-look-to-china-for-hypersonic-missile-tech-to-counter-india-analysts/
1210814251	20231120	202311	2023	2023.8767	JUD	PROSECUTOR						JUD													1	120	120	12	3	-4.0	6	1	6	-3.18559556786703	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20241119171500	https://www.cbsnews.com/news/matt-gaetz-depositions-leak-investigations/
1210814252	20231120	202311	2023	2023.8767	PAK	PAKISTANI	PAK								CHN	CHINA	CHN								1	072	072	07	2	8.3	2	1	2	1.03896103896104	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20241119171500	https://idrw.org/pakistan-may-look-to-china-for-hypersonic-missile-tech-to-counter-india-analysts/
1210814253	20231120	202311	2023	2023.8767	PAKMED	PAKISTAN	PAK					MED			PAK	PAKISTAN	PAK								1	072	072	07	2	8.3	1	1	1	1.03896103896104	1	Pakistan	PK	PK		30	70	PK	1	China	CH	CH		35	105	CH	1	Pakistan	PK	PK		30	70	PK	20241119171500	https://idrw.org/pakistan-may-look-to-china-for-hypersonic-missile-tech-to-counter-india-analysts/
1210814254	20231120	202311	2023	2023.8767	PAKMED	PAKISTANI	PAK					MED			PAK	PAKISTAN	PAK								1	072	072	07	2	8.3	4	1	4	1.03896103896104	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20241119171500	https://idrw.org/pakistan-may-look-to-china-for-hypersonic-missile-tech-to-counter-india-analysts/
1210814255	20231120	202311	2023	2023.8767	REF	REFUGEE						REF			SDN	SUDANESE	SDN								0	040	040	04	1	1.0	8	1	8	-0.62111801242236	4	Kadugli, Janub Kurdufan, Sudan	SU	SU50	37149	11.0167	29.7167	-8137	4	Kadugli, Janub Kurdufan, Sudan	SU	SU50	37149	11.0167	29.7167	-8137	4	Kadugli, Janub Kurdufan, Sudan	SU	SU50	37149	11.0167	29.7167	-8137	20241119171500	https://www.dabangasudan.org/en/all-news/article/us-envoy-perriello-on-sudan-humanitarian-crisis-theres-much-much-work-to-be-done
1210814256	20231120	202311	2023	2023.8767	REF	REFUGEE						REF			SDN	SUDANESE	SDN								0	040	040	04	1	1.0	2	1	2	-0.62111801242236	4	Dabanga, Shamal Darfur, Sudan	SU	SU55	37080	13.3267	24.8534	11081854	4	Dabanga, Shamal Darfur, Sudan	SU	SU55	37080	13.3267	24.8534	11081854	4	Dabanga, Shamal Darfur, Sudan	SU	SU55	37080	13.3267	24.8534	11081854	20241119171500	https://www.dabangasudan.org/en/all-news/article/us-envoy-perriello-on-sudan-humanitarian-crisis-theres-much-much-work-to-be-done
1210814257	20231120	202311	2023	2023.8767	SDN	SUDANESE	SDN								REF	REFUGEE						REF			0	040	040	04	1	1.0	8	1	8	-0.62111801242236	4	Kadugli, Janub Kurdufan, Sudan	SU	SU50	37149	11.0167	29.7167	-8137	4	Kadugli, Janub Kurdufan, Sudan	SU	SU50	37149	11.0167	29.7167	-8137	4	Kadugli, Janub Kurdufan, Sudan	SU	SU50	37149	11.0167	29.7167	-8137	20241119171500	https://www.dabangasudan.org/en/all-news/article/us-envoy-perriello-on-sudan-humanitarian-crisis-theres-much-much-work-to-be-done
