1258623881	20240820	202408	2024	2024.6301	AUS	AUSTRALIA	AUS								ESP	BARCELONA	ESP								1	051	051	05	1	3.4	2	1	2	1.36645962732919	4	Mountain View, Victoria, Australia	AS	AS07	5414	-38.2667	145.867	-1589169	4	Mountain View, Victoria, Australia	AS	AS07	5414	-38.2667	145.867	-1589169	4	Mountain View, Victoria, Australia	AS	AS07	5414	-38.2667	145.867	-1589169	20250820163000	http://www.prnewswire.com/news-releases/google-and-skylo-expand-satellite-connectivity-to-pixel-10-series-and-unveil-pixel-watch-4-the-worlds-first-smartwatch-with-2-way-satellite-emergency-messaging-302534828.html
1258623882	20240820	202408	2024	2024.6301	BGDGOV	BANGLADESH	BGD					GOV			BGD	BANGLADESH	BGD								1	141	141	14	3	-6.5	2	1	2	-5.15970515970516	4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20250820163000	https://www.moneycontrol.com/world/india-rejects-bangladesh-s-misplaced-allegations-of-anti-dhaka-activities-on-its-soil-article-13473283.html
1258623883	20240820	202408	2024	2024.6301	GOV	PRESIDENT						GOV			ROU	ROMANIA									1	020	020	02	1	3.0	2	1	2	0	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	20250820163000	https://www.stiripesurse.ro/president-dan-on-a-possible-visit-to-the-us-probably-at-the-beginning-of-next-year_3796092.html
1258623884	20240820	202408	2024	2024.6301	GOV	PRESIDENT						GOV			USA	MONTANA	USA								1	020	020	02	1	3.0	1	1	1	0	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	20250820163000	https://www.stiripesurse.ro/president-dan-on-a-possible-visit-to-the-us-probably-at-the-beginning-of-next-year_3796092.html
1258623885	20240820	202408	2024	2024.6301	GOV	PRESIDENT						GOV			USA	THE US	USA								1	042	042	04	1	1.9	3	1	3	0	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	20250820163000	https://www.stiripesurse.ro/president-dan-on-a-possible-visit-to-the-us-probably-at-the-beginning-of-next-year_3796092.html
1258623886	20240820	202408	2024	2024.6301	LAB	WORKER						LAB			ISR	ISRAEL	ISR								1	190	190	19	4	-10.0	14	2	14	-5.9627354378282	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250820163000	https://www.democracynow.org/2025/8/20/headlines/a_record_383_humanitarian_workers_were_killed_last_year_led_by_israeli_attacks_in_gaza
1258623887	20240820	202408	2024	2024.6301	LEGGOV	CONGRESS						LEG	GOV		GOV	GOVERNMENT						GOV			1	010	010	01	1	0.0	12	3	12	1.72413793103448	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20250820163000	http://www.bignewsnetwork.com/news/278522356/sudershan-reddy-nomination-stands-as-firm-commitment-to-restoring-impartiality-to-rajya-sabha-functioning-mallikarjun-kharge
1258623888	20240820	202408	2024	2024.6301	ROU	ROMANIA									USA	THE US	USA								1	042	042	04	1	1.9	1	1	1	0	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	20250820163000	https://www.stiripesurse.ro/president-dan-on-a-possible-visit-to-the-us-probably-at-the-beginning-of-next-year_3796092.html
1258623889	20240820	202408	2024	2024.6301	ROU	ROMANIA									USA	THE US	USA								1	042	042	04	1	1.9	1	1	1	0	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250820163000	https://www.stiripesurse.ro/president-dan-on-a-possible-visit-to-the-us-probably-at-the-beginning-of-next-year_3796092.html
1258623890	20240820	202408	2024	2024.6301	ROUGOV	ROMANIA						GOV			USA	THE US	USA								1	042	042	04	1	1.9	1	1	1	0	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	20250820163000	https://www.stiripesurse.ro/president-dan-on-a-possible-visit-to-the-us-probably-at-the-beginning-of-next-year_3796092.html
1258623891	20240820	202408	2024	2024.6301	ROUGOV	ROMANIA						GOV			USA	THE US	USA								1	042	042	04	1	1.9	1	1	1	0	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250820163000	https://www.stiripesurse.ro/president-dan-on-a-possible-visit-to-the-us-probably-at-the-beginning-of-next-year_3796092.html
1258623892	20240820	202408	2024	2024.6301	USA	UNITED STATES	USA																		0	026	026	02	1	4.0	4	1	4	1.01010101010101	3	Hawthorne Country Club, Massachusetts, United States	US	USMA	MA005	41.6159	-70.9831	599711	0								3	Hawthorne Country Club, Massachusetts, United States	US	USMA		41.6159	-70.9831	599711	20250820163000	http://www.eastbayri.com/stories/planners-say-housing-should-be-considered-at-old-whs,133567
1258623893	20240820	202408	2024	2024.6301	USA	THE US	USA								GOV	PRESIDENT						GOV			1	043	043	04	1	2.8	6	1	6	0	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	20250820163000	https://www.stiripesurse.ro/president-dan-on-a-possible-visit-to-the-us-probably-at-the-beginning-of-next-year_3796092.html
1258623894	20240820	202408	2024	2024.6301	USA	THE US	USA								ROU	ROMANIA									1	043	043	04	1	2.8	2	1	2	0	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	20250820163000	https://www.stiripesurse.ro/president-dan-on-a-possible-visit-to-the-us-probably-at-the-beginning-of-next-year_3796092.html
1258623895	20240820	202408	2024	2024.6301	USA	THE US	USA								ROUGOV	ROMANIA						GOV			1	043	043	04	1	2.8	2	1	2	0	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	4	Rosia Montana, Romania (general), Romania	RO	RO00	25009	46.3	23.1333	-1168848	20250820163000	https://www.stiripesurse.ro/president-dan-on-a-possible-visit-to-the-us-probably-at-the-beginning-of-next-year_3796092.html
1258623896	20250813	202508	2025	2025.6110											ESP	SPAIN	ESP								0	050	050	05	1	3.5	2	1	2	1.0230179028133	0								1	Portugal	PO	PO		39.5	-8	PO	1	Portugal	PO	PO		39.5	-8	PO	20250820163000	https://www.caughtoffside.com/2025/08/20/renato-veiga-transfer-villarreal/
1258623897	20250813	202508	2025	2025.6110											ESP	SPAIN	ESP								1	050	050	05	1	3.5	2	1	2	1.0230179028133	0								1	Portugal	PO	PO		39.5	-8	PO	1	Spain	SP	SP		40	-4	SP	20250820163000	https://www.caughtoffside.com/2025/08/20/renato-veiga-transfer-villarreal/
1258623898	20250813	202508	2025	2025.6110	COP	POLICE						COP			JUD	ATTORNEY						JUD			1	020	020	02	1	3.0	3	1	3	-6.9078947368421	3	Cook County, Illinois, United States	US	USIL	IL031	41.8334	-87.8501	1784766	3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	20250820163000	https://www.chicagotribune.com/2025/08/20/bullet-officer-krystal-rivera-autopsy/
1258623899	20250813	202508	2025	2025.6110	COP	TROOPER						COP			USA	SOUTH CAROLINA	USA								1	043	043	04	1	2.8	10	1	10	-0.15822784810126	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20250820163000	https://www.live5news.com/2025/08/20/sc-trooper-killed-orangeburg-crash-be-laid-rest-wednesday-morning/
